MCT_YM,MCT_NM,ADDR
(주)아워홈 제주지방합동청사제주점_20150108,(주)아워홈 제주지방합동청사제주점,제주 제주시 도남동 662번지 4층
(주)오드랑베이커리_20190508,(주)오드랑베이커리,제주 제주시 조천읍 함덕리 270-1번지
(주)오설록 제주점_20190923,(주)오설록 제주점,제주 서귀포시 안덕면 서광리 1235-1번지
(주)제담에프앤비 제주호랭이 성산점_20210407,(주)제담에프앤비 제주호랭이 성산점,제주 서귀포시 성산읍 성산리 132-2번지 2층
(주)제이콥에프앤비 제주아일랜드점_20170725,(주)제이콥에프앤비 제주아일랜드점,제주 서귀포시 안덕면 상창리 1963-2번지
(주)제주서서갈비_20190925,(주)제주서서갈비,제주 제주시 노형동 2419번지 1층
(주)젠하이더웨이묵전제주점_20220224,(주)젠하이더웨이묵전제주점,제주 서귀포시 대정읍 상모리 78번지 송악빌딩 1동 지하1층 송악리조트
(주)참숯구이몬트락_20160308,(주)참숯구이몬트락,제주 제주시 건입동 1388-3번지
(주)커피빈코리아_20210422,(주)커피빈코리아,제주 제주시 아라일동 2503번지
(주)케이에프씨코리아 KFC서귀포DI_20220427,(주)케이에프씨코리아 KFC서귀포DI,제주 서귀포시 동홍동 1543번지 1층
(주)코드넷_20180328,(주)코드넷,제주 제주시 오라이동 1304-1번지 1층
(주)파리크라상파리바게뜨 제주공항점_20140521,(주)파리크라상파리바게뜨 제주공항점,제주 제주시 용담이동 2002번지 3층
(주)파리크라상파리바게뜨제주공항탑승점_20200925,(주)파리크라상파리바게뜨제주공항탑승점,제주 제주시 용담이동 2002번지 여객청사 2층
(주)피자알볼로 제주점_20160831,(주)피자알볼로 제주점,제주 제주시 이도이동 1978-9번지 1층
064제주인생곱창_20200203,064제주인생곱창,제주 제주시 이도이동 1970-4번지 1층
1950에어차이나 제주공항점_20201008,1950에어차이나 제주공항점,제주 제주시 용담이동 2002번지 4층
24시 전주명가콩나물국밥 노형점_20190509,24시 전주명가콩나물국밥 노형점,제주 제주시 노형동 1054-2번지 1층
24시국수회관_20060414,24시국수회관,제주 제주시 삼도일동 797-8번지
24시누름돌김치찌개_20190124,24시누름돌김치찌개,제주 제주시 연동 304-3번지 1층
24시누름돌생고기김치찌개 용담점_20210601,24시누름돌생고기김치찌개 용담점,제주 제주시 용담이동 641-28번지 1층
24시뼈다귀신제주점_20000921,24시뼈다귀신제주점,제주 제주시 연동 271-22번지
24시뼈다귀탕 신서귀점_20151217,24시뼈다귀탕 신서귀점,제주 서귀포시 강정동 163-1번지
24시뼈다귀탕_20020703,24시뼈다귀탕,제주 제주시 이도일동 1252-5번지
24시뼈다귀탕노형점_20220916,24시뼈다귀탕노형점,제주 제주시 노형동 936-11번지 1층
24시뼈다귀탕동홍점_20190308,24시뼈다귀탕동홍점,제주 서귀포시 동홍동 107-6번지
24시뼈다귀탕중문점_20180424,24시뼈다귀탕중문점,제주 서귀포시 중문동 2439-1번지 1층
24시얼큰시원생고기김치찌개 노형점_20200123,24시얼큰시원생고기김치찌개 노형점,제주 제주시 노형동 1283-1번지 1호
24시얼큰시원생고기김치찌개아라점_20191018,24시얼큰시원생고기김치찌개아라점,제주 제주시 아라일동 6103번지 1층
24시얼큰시원생고기김치찌개외도점_20170103,24시얼큰시원생고기김치찌개외도점,제주 제주시 외도일동 637-12번지 1층
24시전주명가콩나물국밥_20190711,24시전주명가콩나물국밥,제주 제주시 아라일동 2417-3번지 1층
24시전주명가콩나물국밥일도점_20171227,24시전주명가콩나물국밥일도점,제주 제주시 일도이동 48-2번지
24시제주해장국_20191210,24시제주해장국,제주 제주시 연동 271-20번지 1층
2도비어이도점_20200527,2도비어이도점,제주 제주시 이도이동 1948-10번지 1층
30년할매닭발노형점_20210726,30년할매닭발노형점,제주 제주시 노형동 2527-7번지 1호
43번가정육식당_20200804,43번가정육식당,제주 제주시 용담일동 189-3번지
60계제주아라점_20210713,60계제주아라점,제주 제주시 아라일동 6114-11번지 1층
60계치킨 제주노형점_20181127,60계치킨 제주노형점,제주 제주시 노형동 1066-2번지 세기6차아파트 109호
60계치킨제주삼화지구점_20171226,60계치킨제주삼화지구점,제주 제주시 화북일동 1019-2번지 1층
60계치킨제주서귀포동홍점_20191002,60계치킨제주서귀포동홍점,제주 서귀포시 동홍동 413-5번지 1층
60빈스_20200408,60빈스,제주 서귀포시 호근동 405-1번지 호근동
7번가피자함덕점_20161018,7번가피자함덕점,제주 제주시 조천읍 함덕리 1252-37번지 나동
8번게이트주식회사_20220829,8번게이트주식회사,제주 제주시 이도일동 1434번지 1층
BHC 제주신화월드점_20171229,BHC 제주신화월드점,제주 서귀포시 안덕면 서광리 산 24-18번지 1층
GROOV_20200729,GROOV,제주 제주시 한림읍 협재리 2447-7번지 1동 3층
KFC 서귀포중문DT_20151027,KFC 서귀포중문DT,제주 서귀포시 색달동 2864-10번지 1층
NAIVE_20220404,NAIVE,제주 제주시 이도이동 1188-16번지 1층
TONKATSU 서황_20160407,TONKATSU 서황,제주 제주시 애월읍 소길리 794-1번지 동상가
centro_20180328,centro,제주 서귀포시 서귀동 172-4번지 1층
가는곶세화_20200625,가는곶세화,제주 제주시 구좌읍 세화리 1355-3번지 1층
가다오다_20210319,가다오다,제주 제주시 일도이동 1025-4번지
가담_20100316,가담,제주 제주시 노형동 1044-10번지
가담국수 하귀점_20191004,가담국수 하귀점,제주 제주시 애월읍 하귀1리 154-1번지 1층
가든업_20210805,가든업,제주 제주시 노형동 1283-21번지 1층
가든이다_20210713,가든이다,제주 서귀포시 중문동 1703-1번지 1층
가락국수_20140630,가락국수,제주 제주시 연동 283-2번지
가람돌솥밥_20110819,가람돌솥밥,제주 서귀포시 대포동 747-3번지
가리본가 광양점_20160510,가리본가 광양점,제주 제주시 삼도일동 319-8번지
가리본가본점_20140708,가리본가본점,제주 제주시 연동 2326-7번지
가스름식당_20011221,가스름식당,제주 서귀포시 표선면 가시리 1900-4번지
가시식당2호점_20161223,가시식당2호점,제주 제주시 이도이동 2035-15번지
가시식당_20160704,가시식당,제주 서귀포시 표선면 가시리 1898-5번지
가시아방국수_20140109,가시아방국수,제주 서귀포시 성산읍 고성리 1195-1번지
가야밀면돼지국밥_20200611,가야밀면돼지국밥,제주 제주시 오라일동 1083-2번지 1동 2층
각지불_20051025,각지불,제주 제주시 조천읍 교래리 217번지
간또_20170306,간또,제주 제주시 연동 272-35번지 연동
갈비가맛있다_20191202,갈비가맛있다,제주 서귀포시 대정읍 보성리 2477번지 1층 135호
갈치관_20220708,갈치관,제주 제주시 애월읍 구엄리 1258-8번지 2층
갈치옥_20210305,갈치옥,제주 제주시 조천읍 함덕리 1004-30번지 2층 2호
갈치왕_20180702,갈치왕,제주 서귀포시 상예동 1719-1번지 1층
감나무집_20121102,감나무집,제주 제주시 오라일동 1074번지
감미숯불닭갈비_20211022,감미숯불닭갈비,제주 제주시 노형동 2574-4번지 1층
감성돈_20200803,감성돈,제주 제주시 한림읍 협재리 2447-41번지 1층
감성밥집바다의집_20200709,감성밥집바다의집,제주 서귀포시 성산읍 오조리 797-1번지 1층
감성커피한라병원점_20210823,감성커피한라병원점,제주 제주시 연동 1964-3번지 연동펠리체아파트 104호
감수촌_20160212,감수촌,제주 제주시 삼양이동 2135-5번지 1층
감초식당_20040203,감초식당,제주 제주시 이도일동 1289-5번지
갓포아키제주도점_20220406,갓포아키제주도점,제주 제주시 연동 263-15번지 메종글래드제주 1층
강명선샤브샤브_20120507,강명선샤브샤브,"제주 제주시 연동 300-17번지 연동,(연동)"
강선장당일바리_20200805,강선장당일바리,제주 제주시 노형동 1068-15번지
강셰프의 키친_20171121,강셰프의 키친,제주 서귀포시 대정읍 무릉리 322-5번지
강식당_20170215,강식당,제주 제주시 한림읍 협재리 1680-1번지 2동 1층
강실장회포차_20200911,강실장회포차,제주 서귀포시 강정동 208-8번지 201호
강정중국집_20210924,강정중국집,제주 서귀포시 강정동 2881-19번지
강정포구횟집_20080423,강정포구횟집,제주 서귀포시 강정동 4686-2번지
강춘식당_20121116,강춘식당,제주 제주시 일도일동 1103-5번지
강풍해장국_20180123,강풍해장국,제주 서귀포시 안덕면 사계리 3440-1번지 1호
개정 노형점_20220322,개정 노형점,제주 제주시 노형동 728-1번지 1층
갱이네보말칼국수_20131206,갱이네보말칼국수,제주 제주시 도남동 58-5번지
거멍국수_20150702,거멍국수,제주 서귀포시 안덕면 사계리 522-1번지 1층
검은쇠몰고오는_20220919,검은쇠몰고오는,제주 제주시 연동 296-7번지
검은여닭도가니_20100630,검은여닭도가니,제주 서귀포시 토평동 472번지
검은여식당본점_20060803,검은여식당본점,제주 서귀포시 표선면 표선리 1861번지 1층
게우지코인 인 갤러리_20161227,게우지코인 인 갤러리,제주 서귀포시 하효동 1371번지
경동식당_20030103,경동식당,제주 서귀포시 안덕면 화순리 1077-1번지
경미네집_20190318,경미네집,제주 서귀포시 성산읍 성산리 145-4번지 성산
경일낙지_20020112,경일낙지,제주 제주시 노형동 1291-3번지
계절식탁향토_20210607,계절식탁향토,제주 제주시 조천읍 함덕리 1004-41번지 2층
고객식당_20080225,고객식당,제주 제주시 이도일동 1429번지 1층
고구려_20011031,고구려,제주 제주시 연동 1511-1번지
고국수_20221125,고국수,제주 제주시 용담이동 2682-7번지 1층
고기굽는해녀_20220524,고기굽는해녀,제주 제주시 구좌읍 한동리 1007-2번지 지1층
고기다_20190607,고기다,제주 서귀포시 성산읍 고성리 350-1번지
고기덕후_20200715,고기덕후,제주 서귀포시 대정읍 상모리 3319번지
고기에오르다_20210407,고기에오르다,제주 서귀포시 성산읍 성산리 298-2번지 2층
고기역_20211207,고기역,제주 제주시 연동 1484번지 1층
고기왕_20120424,고기왕,제주 제주시 애월읍 하귀1리 530-9번지 3층 (왕빌딩)
고기장_20211217,고기장,제주 제주시 용담삼동 2400-7번지 1층
고깃집 본점_20220812,고깃집 본점,제주 서귀포시 법환동 737-1번지
고깃집_20141015,고깃집,제주 서귀포시 법환동 737-1번지
고깃집돈누리_20101019,고깃집돈누리,제주 제주시 연동 253-4번지 1층
고니식당_20170201,고니식당,제주 제주시 아라일동 6092-10번지 101호
고등어회전문점 우성이네_20211130,고등어회전문점 우성이네,제주 서귀포시 강정동 172-10번지 지1층
고땡_20181203,고땡,제주 서귀포시 서귀동 416-2번지 106호
고래냉삼_20210607,고래냉삼,제주 제주시 외도일동 559-2번지 1층
고래콩물_20090217,고래콩물,제주 제주시 노형동 933-6번지
고래콩물이도점_20140630,고래콩물이도점,제주 제주시 아라이동 3011-21번지 1층
고모네돔베_20220429,고모네돔베,제주 제주시 조천읍 선흘리 475-4번지 1층
고미횟집_20130208,고미횟집,제주 서귀포시 서귀동 325-27번지
고바진_20201209,고바진,제주 서귀포시 안덕면 동광리 525-1번지 1층
고보배국밥_20120525,고보배국밥,제주 제주시 이도이동 1076번지
고봉민김밥인(서귀포강정점)_20190409,고봉민김밥인(서귀포강정점),제주 서귀포시 강정동 208-1번지 1층 102호
고사리식당_20180905,고사리식당,제주 제주시 조천읍 선흘리 1856-8번지
고서방짬뽕_20190424,고서방짬뽕,제주 제주시 아라일동 6112-17번지 1층
고성장수물식당_20030415,고성장수물식당,제주 제주시 연동 310-79번지
고성장터국밥_20160920,고성장터국밥,제주 서귀포시 성산읍 고성리 1171-1번지
고수목마_20180124,고수목마,제주 서귀포시 표선면 표선리 553-2번지
고씨네천지국수_20190712,고씨네천지국수,제주 서귀포시 서귀동 298-1번지 1층
고요남_20151211,고요남,제주 제주시 아라이동 3001-17번지
고우니제주를담다말흑돼지전복삼합전문점_20070206,고우니제주를담다말흑돼지전복삼합전문점,제주 제주시 애월읍 하귀2리 2825번지
고은물식당_20040623,고은물식당,제주 서귀포시 안덕면 화순리 645-1번지
고이정_20190328,고이정,제주 제주시 애월읍 애월리 2457-1번지
고집돌우럭 중문점_20170504,고집돌우럭 중문점,제주 서귀포시 색달동 2351번지 2층
고집돌우럭 함덕점_20190807,고집돌우럭 함덕점,제주 제주시 조천읍 함덕리 1020-2번지 2층
고집돌우럭_20160610,고집돌우럭,제주 제주시 건입동 1319-124번지
고창댁풍천장어낙지_20160212,고창댁풍천장어낙지,제주 제주시 화북일동 4004-1번지
고할망네_20190409,고할망네,제주 서귀포시 안덕면 사계리 2076-4번지
고향숯불막창구이_20080327,고향숯불막창구이,제주 제주시 노형동 1279-1번지
고향숯불막창삼화점_20150227,고향숯불막창삼화점,제주 제주시 화북일동 1265-1번지 1층
고향흑돼지_20131118,고향흑돼지,제주 제주시 한림읍 옹포리 385-13번지
골막식당_20200907,골막식당,제주 제주시 이도이동 362-1번지 1층
골목깡통구이_20180716,골목깡통구이,제주 서귀포시 중문동 2081-1번지 1층
골목돼지_20181112,골목돼지,제주 제주시 노형동 910-2번지 1층
곰돌이숯불갈비_20210119,곰돌이숯불갈비,제주 제주시 연동 2303-3번지
곰막_20220429,곰막,제주 제주시 구좌읍 동복리 667-1번지
곰보숯불갈비_20130717,곰보숯불갈비,제주 제주시 노형동 2586-1번지
곱들락_20160222,곱들락,제주 제주시 조천읍 함덕리 951-1번지 1층
공단해장국 아라점_20220406,공단해장국 아라점,제주 제주시 아라이동 943-1번지
공단해장국_20050223,공단해장국,제주 제주시 도남동 142-1번지 1층
공룡고기_20210803,공룡고기,제주 제주시 노형동 53번지 노형동
공룡마라탕앤양꼬치8호점_20220613,공룡마라탕앤양꼬치8호점,제주 서귀포시 중문동 2083-2번지 1층
공주네국수_20210324,공주네국수,제주 제주시 봉개동 1815-1번지 1층
공천포식당_20140411,공천포식당,제주 서귀포시 남원읍 신례리 27-5번지
곶자왈_20131021,곶자왈,제주 제주시 조천읍 교래리 554-3번지
곶자왈화덕피자_20140502,곶자왈화덕피자,제주 서귀포시 대정읍 상모리 2698-1번지
곽지해녀의집_20150430,곽지해녀의집,제주 제주시 애월읍 곽지리 1565-35번지
광동도남오거리_20050105,광동도남오거리,제주 제주시 화북일동 11-3번지
광령치킨_20160422,광령치킨,제주 제주시 애월읍 광령리 2221-2번지 1층
광명대창집신서귀포점_20220714,광명대창집신서귀포점,제주 서귀포시 강정동 207-2번지 1층
광양_19990517,광양,제주 제주시 이도이동 1177-2번지
광양왕소금깡통구이_20080303,광양왕소금깡통구이,제주 제주시 이도이동 1178-11번지
광어다서귀포표선본점_20211227,광어다서귀포표선본점,제주 서귀포시 표선면 세화리 181번지 2층
광평도새기촌본점_20110729,광평도새기촌본점,제주 제주시 이도이동 2007-4번지
괸당집 노형점_20221201,괸당집 노형점,제주 제주시 노형동 2529-2번지
괸당집성산점_20200803,괸당집성산점,제주 서귀포시 성산읍 고성리 1199-2번지 1층
괸당집신시가지점_20190130,괸당집신시가지점,제주 서귀포시 서호동 1477-3번지 1층
괸당집외도점_20200917,괸당집외도점,제주 제주시 외도일동 551-3번지 1층
괸당집인제점_20200228,괸당집인제점,제주 제주시 일도이동 417번지 1층
괸당집중문점_20220708,괸당집중문점,제주 서귀포시 중문동 1973-4번지 1층
괸당집표선점_20190531,괸당집표선점,제주 서귀포시 표선면 표선리 498-1번지 1층
괸당집함덕점_20200219,괸당집함덕점,제주 제주시 조천읍 함덕리 1252-2번지 1층
교동짬뽕제주_20221004,교동짬뽕제주,제주 제주시 이도일동 1244-6번지 1층
교래손칼국수_20050111,교래손칼국수,제주 제주시 조천읍 교래리 491번지
교래향_20150325,교래향,제주 제주시 조천읍 교래리 602-12번지
교래흑돼지_20150122,교래흑돼지,제주 제주시 조천읍 교래리 216-1번지 1층
교촌치킨 대정점_20210621,교촌치킨 대정점,제주 서귀포시 대정읍 하모리 1048-4번지 1층
교촌치킨 삼양화북점_20220727,교촌치킨 삼양화북점,제주 제주시 화북일동 1023-2번지 1층
교촌치킨 서귀포명동점_20170620,교촌치킨 서귀포명동점,제주 서귀포시 서귀동 408-3번지
교촌치킨 서귀포혁신도시점_20180528,교촌치킨 서귀포혁신도시점,제주 서귀포시 강정동 166-10번지 1층
교촌치킨 성산일출봉점_20190522,교촌치킨 성산일출봉점,제주 서귀포시 성산읍 성산리 362-1번지 1층
교촌치킨 아라점_20220228,교촌치킨 아라점,제주 제주시 아라일동 6080번지 1층
교촌치킨 애월하귀점_20171124,교촌치킨 애월하귀점,제주 제주시 애월읍 하귀1리 162-4번지 1층
교촌치킨 애월해안도로점_20221116,교촌치킨 애월해안도로점,제주 제주시 애월읍 고내리 1145-1번지 101호
교촌치킨 용담삼도점_20200420,교촌치킨 용담삼도점,제주 제주시 용담이동 628-24번지 1층
교촌치킨 일도점_20211227,교촌치킨 일도점,제주 제주시 일도이동 377-22번지 1층
교촌치킨 한림협재점_20170918,교촌치킨 한림협재점,제주 제주시 한림읍 한림리 1582-8번지 1층
교촌치킨도두해안도로점_20200604,교촌치킨도두해안도로점,제주 제주시 도두일동 2625-4번지 1층
교촌치킨서귀포1호점_20161028,교촌치킨서귀포1호점,제주 서귀포시 동홍동 117-6번지
교촌치킨세화점_20200911,교촌치킨세화점,제주 제주시 구좌읍 평대리 3349-8번지 1층 101호
교촌치킨영어교육도시점_20220812,교촌치킨영어교육도시점,제주 서귀포시 대정읍 보성리 2476번지 1층 111호
교촌치킨탑동점_20061109,교촌치킨탑동점,제주 제주시 건입동 1441번지
교촌치킨함덕점_20210215,교촌치킨함덕점,제주 제주시 조천읍 함덕리 1004-41번지 1층
구도로통닭 제주삼화점_20190225,구도로통닭 제주삼화점,제주 제주시 화북일동 1005-6번지 1층
구두미_20180927,구두미,제주 서귀포시 보목동 1289-2번지 1층
구럼비나무_20161123,구럼비나무,제주 서귀포시 법환동 218번지 1층
구어라조연탄_20190516,구어라조연탄,제주 제주시 이도이동 1765-1번지 1층
구억불사나이_20171024,구억불사나이,제주 서귀포시 대정읍 구억리 832-6번지 1층
구이사이_20071227,구이사이,제주 제주시 애월읍 신엄리 1280-1번지
국밥생각노형점_20210309,국밥생각노형점,제주 제주시 노형동 720-3번지 1층
국빈대반점_20181001,국빈대반점,제주 제주시 노형동 2687-4번지 2층
국수마당본점_20090928,국수마당본점,제주 제주시 일도이동 1034-19번지
국수사랑_20070330,국수사랑,제주 제주시 화북일동 1118-1번지
국수장터_20050503,국수장터,제주 제주시 이도이동 1168-5번지
국수전_20180412,국수전,제주 제주시 노형동 1283-3번지 1층
국시트멍_20140108,국시트멍,제주 제주시 노형동 738-7번지 1층
국제토산품스낵_20180605,국제토산품스낵,제주 제주시 건입동 908-1번지 국제여객터미널
군족_20161130,군족,제주 서귀포시 서호동 1551-4번지
굽네치킨 성산점_20211007,굽네치킨 성산점,제주 서귀포시 성산읍 시흥리 208번지 1층
굽네치킨 영어도시점_20170706,굽네치킨 영어도시점,제주 서귀포시 대정읍 구억리 1115번지 해동그린앤골드아파트 상가동 105호
굽써_20200423,굽써,제주 제주시 이호일동 1792번지 1층
궁한스샤브신제주점_20150729,궁한스샤브신제주점,제주 제주시 연동 298-9번지 2층
궁한스샤브제주일도점_20110916,궁한스샤브제주일도점,제주 제주시 일도이동 85-5번지
권가칼국수_20211209,권가칼국수,제주 제주시 화북일동 1004-2번지 1층
귀한족발제주일도점_20221114,귀한족발제주일도점,제주 제주시 일도이동 378-7번지 102호
규태네_20091103,규태네,제주 제주시 노형동 917-10번지
귤꽃다락_20201023,귤꽃다락,제주 서귀포시 서호동 133번지
그늘집_20210527,그늘집,제주 서귀포시 법환동 736번지
그란데_20150609,그란데,제주 제주시 아라일동 6127-5번지 2층 201호
그랜드_20110120,그랜드,제주 제주시 노형동 1065-7번지 1층 남쪽
그러므로파트투_20180905,그러므로파트투,제주 제주시 노형동 128번지 1층
그리매_20150428,그리매,제주 제주시 조천읍 와흘리 165-51번지 1층
그리운바다성산포_20170515,그리운바다성산포,제주 서귀포시 성산읍 성산리 360-10번지
그린사이공_20210108,그린사이공,제주 제주시 한경면 신창리 463-1번지
그마니네_20130522,그마니네,제주 제주시 애월읍 하귀1리 266-6번지 1층
그옛맛_20060616,그옛맛,제주 제주시 삼도일동 567-10번지
글라글라하와이_20160818,글라글라하와이,제주 서귀포시 대정읍 하모리 770-2번지
글램바_20180226,글램바,제주 제주시 연동 284-5번지 미도스카이빌 2층 205호
금갈치_20180328,금갈치,제주 제주시 일도이동 416-1번지 1층
금강민물장어_20200226,금강민물장어,제주 서귀포시 동홍동 640-1번지
금능 제면소_20190426,금능 제면소,제주 제주시 한림읍 금능리 1361번지 2동 1층
금능둘레길_20220411,금능둘레길,제주 제주시 한림읍 금능리 1420번지 1층
금데기식당_20070528,금데기식당,제주 서귀포시 표선면 표선리 45번지
금돈가_20210623,금돈가,제주 제주시 애월읍 하귀2리 2717번지
금돈상회_20211231,금돈상회,제주 제주시 이도이동 1771-7번지 1층
금돗_20220429,금돗,제주 서귀포시 성산읍 성산리 234-16번지
금땡이양꼬치_20200925,금땡이양꼬치,제주 제주시 노형동 929-12번지 2층
금박돈_20170907,금박돈,제주 서귀포시 성산읍 성산리 148번지 1층
금별맥주 서귀포점_20220826,금별맥주 서귀포점,제주 서귀포시 서귀동 417-6번지 101호
금별맥주제원점_20220623,금별맥주제원점,제주 제주시 연동 273-28번지
금보식당_20070905,금보식당,제주 제주시 건입동 1319-50번지
금복_20160523,금복,제주 제주시 일도일동 1148-2번지
금복촌_20090302,금복촌,제주 제주시 용담일동 2828-7번지
금산서당골_20150630,금산서당골,제주 제주시 아라이동 937번지
금악 똣똣라면_20210909,금악 똣똣라면,제주 제주시 한림읍 금악리 2096-5번지
금악정육식당_20150129,금악정육식당,제주 제주시 한림읍 금악리 2138번지
금자매_20181108,금자매,제주 제주시 한경면 두모리 2758번지
금조_20000613,금조,제주 제주시 일도이동 400-19번지
금하갈비_20081017,금하갈비,제주 제주시 오등동 631-1번지
금화_20141230,금화,제주 제주시 연동 2318-1번지
기리시마_20160114,기리시마,제주 제주시 아라일동 2605-8번지
기쁨이네해물탕앤돌솥밥_20120531,기쁨이네해물탕앤돌솥밥,제주 제주시 조천읍 함덕리 1269-17번지
기시어멍김밥_20220922,기시어멍김밥,제주 서귀포시 강정동 232번지 1층 102호
기억나는집_20091229,기억나는집,제주 서귀포시 서귀동 486-4번지
기원은갈치본점_20160310,기원은갈치본점,제주 서귀포시 색달동 2277-3번지
기회횟집_20211123,기회횟집,제주 제주시 건입동 1421-1번지 성산빌딩 1층 102호 -103호
길림성_20160218,길림성,제주 제주시 용담일동 181-6번지 1층
길벗식당_20061206,길벗식당,제주 제주시 노형동 1020-2번지
김가네이도점_20181221,김가네이도점,제주 제주시 이도이동 1956번지 한일베라체아파트 601동 107호
김고기_20190920,김고기,제주 서귀포시 서호동 1458-5번지 지하증
김녕오라이_20200522,김녕오라이,제주 제주시 구좌읍 김녕리 1223-20번지 1층 제2호
김녕제주흑돼지식당_20110221,김녕제주흑돼지식당,제주 제주시 구좌읍 김녕리 1633번지
김마리_20170313,김마리,제주 제주시 이도이동 1189-11번지
김명자굴국밥화북점_20221220,김명자굴국밥화북점,제주 제주시 화북일동 1054-1번지 1층
김반장_20191008,김반장,제주 제주시 일도이동 392-17번지
김밥꼬순내_20170425,김밥꼬순내,제주 제주시 아라이동 3005-1번지
김밥천국 시청본점_20110726,김밥천국 시청본점,제주 제주시 이도이동 1018-16번지
김밥천국 연동점_20200702,김밥천국 연동점,제주 제주시 연동 273-1번지 1층
김밥천국 이도점_20220915,김밥천국 이도점,제주 제주시 이도이동 2006-1번지 1층
김밥천국 일도점_20220701,김밥천국 일도점,제주 제주시 일도이동 48-9번지 1층
김밥천국광양대학로점_20221129,김밥천국광양대학로점,제주 제주시 이도이동 1185-2번지 1층
김밥천국신연동점_20081010,김밥천국신연동점,제주 제주시 연동 1482-2번지
김밥천국제주대학점_20150306,김밥천국제주대학점,제주 제주시 아라이동 35-18번지
김복남맥주제주연동점_20220831,김복남맥주제주연동점,제주 제주시 연동 281-27번지 1층
김사장네명태조림_20190326,김사장네명태조림,제주 제주시 노형동 2511-6번지 1층
김서방재첩해장국_20170801,김서방재첩해장국,제주 제주시 노형동 934-16번지
김씨네음식점_20021115,김씨네음식점,제주 서귀포시 서귀동 302-14번지
김여사네_20140314,김여사네,제주 제주시 조천읍 함덕리 1268-2번지
김영미재첩해장국_20170921,김영미재첩해장국,제주 제주시 이도이동 2000-11번지 1층
김재훈고사리육개장_20171208,김재훈고사리육개장,제주 제주시 이도이동 2029-3번지 1층
김희선제주몸국_20190111,김희선제주몸국,제주 제주시 용담삼동 1174-1번지 1층
까망꼬숑_20220826,까망꼬숑,제주 제주시 노형동 3784-12번지 1층
까망돼지_20140411,까망돼지,제주 서귀포시 색달동 2534-9번지
까망돼지서귀포점_20151214,까망돼지서귀포점,제주 서귀포시 토평동 865-1번지 1층
까페 나모나모_20200107,까페 나모나모,제주 제주시 도두일동 1732-9번지
깐깐한족발_20220224,깐깐한족발,제주 제주시 노형동 1561-4번지 1층
깡촌흑돼지_20150420,깡촌흑돼지,제주 제주시 조천읍 함덕리 1276-2번지
꺼멍도새기_20091209,꺼멍도새기,제주 제주시 일도일동 1103번지
꺼멍때지국수_20220926,꺼멍때지국수,제주 제주시 노형동 906-5번지 한신오피스텔 101호
꺼멍목장_20161209,꺼멍목장,제주 서귀포시 하원동 1633-2번지
꺼멍연탄구이_20160816,꺼멍연탄구이,제주 제주시 한경면 저지리 3007-1번지
꼬꼬앤쿡_20160404,꼬꼬앤쿡,제주 제주시 삼도일동 535-19번지
꼬스덴뇨_20211027,꼬스덴뇨,제주 제주시 구좌읍 종달리 150번지
꽁순이네_20210108,꽁순이네,제주 제주시 애월읍 상가리 1980-2번지
