MCT_YM,MCT_NM,name,ADDR,주소1,주소,result
(주)아워홈 제주국제공항2지점_20200709,아워홈 제주국제공항2지점,,제주 제주시 용담이동 2002번지,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%A0%9C%EC%A3%BC%EC%8B%9C%20%EC%9A%A9%EB%8B%B4%EC%9D%B4%EB%8F%99%202002%EB%B2%88%EC%A7%80?c=15.00,0,0,0,dh",
(주)아워홈 제주지방합동청사제주점_20150108,아워홈 제주지방합동청사제주점,정부제주지방합동청사,제주 제주시 도남동 662번지 4층,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%A0%9C%EC%A3%BC%EC%8B%9C%20%EB%8F%84%EB%82%A8%EB%8F%99%20662%EB%B2%88%EC%A7%80%204%EC%B8%B5/place/17008444?c=15.00,0,0,0,dh&isCorrectAnswer=true",
(주)제담에프앤비 제주호랭이 성산점_20210407,제담에프앤비 제주호랭이 성산점,제주호랭이 성산점,제주 서귀포시 성산읍 성산리 132-2번지 2층,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%84%9C%EA%B7%80%ED%8F%AC%EC%8B%9C%20%EC%84%B1%EC%82%B0%EC%9D%8D%20%EC%84%B1%EC%82%B0%EB%A6%AC%20132-2%EB%B2%88%EC%A7%80%202%EC%B8%B5/place/1140365138?c=15.00,0,0,0,dh&isCorrectAnswer=true",
(주)제이콥에프앤비 제주아일랜드점_20170725,제이콥에프앤비 제주아일랜드점,헬로키티아일랜드,제주 서귀포시 안덕면 상창리 1963-2번지,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%84%9C%EA%B7%80%ED%8F%AC%EC%8B%9C%20%EC%95%88%EB%8D%95%EB%A9%B4%20%EC%83%81%EC%B0%BD%EB%A6%AC%201963-2%EB%B2%88%EC%A7%80/place/33703960?c=15.00,0,0,0,dh&isCorrectAnswer=true",
(주)젠하이더웨이묵전제주점_20220224,젠하이더웨이묵전제주점,가파도,제주 서귀포시 대정읍 상모리 78번지 송악빌딩 1동 지하1층 송악리조트,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%84%9C%EA%B7%80%ED%8F%AC%EC%8B%9C%20%EB%8C%80%EC%A0%95%EC%9D%8D%20%EC%83%81%EB%AA%A8%EB%A6%AC%2078%EB%B2%88%EC%A7%80%20%EC%86%A1%EC%95%85%EB%B9%8C%EB%94%A9%201%EB%8F%99%20%EC%A7%80%ED%95%981%EC%B8%B5%20%EC%86%A1%EC%95%85%EB%A6%AC%EC%A1%B0%ED%8A%B8/place/13491177?c=15.00,0,0,0,dh&isCorrectAnswer=true",
(주)커피빈코리아_20210422,커피빈코리아,서울아산내과의원,제주 제주시 아라일동 2503번지,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%A0%9C%EC%A3%BC%EC%8B%9C%20%EC%95%84%EB%9D%BC%EC%9D%BC%EB%8F%99%202503%EB%B2%88%EC%A7%80/place/1140307811?c=15.00,0,0,0,dh&isCorrectAnswer=true",
(주)케이에프씨코리아 KFC서귀포DI_20220427,케이에프씨코리아 KFC서귀포DI,KFC 제주서귀포DI점,제주 서귀포시 동홍동 1543번지 1층,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%84%9C%EA%B7%80%ED%8F%AC%EC%8B%9C%20%EB%8F%99%ED%99%8D%EB%8F%99%201543%EB%B2%88%EC%A7%80%201%EC%B8%B5/place/1823115965?c=15.00,0,0,0,dh&isCorrectAnswer=true",
(주)코드넷_20180328,코드넷,한라미디어,제주 제주시 오라이동 1304-1번지 1층,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%A0%9C%EC%A3%BC%EC%8B%9C%20%EC%98%A4%EB%9D%BC%EC%9D%B4%EB%8F%99%201304-1%EB%B2%88%EC%A7%80%201%EC%B8%B5/place/1256021807?c=15.00,0,0,0,dh&isCorrectAnswer=true",
(주)파리크라상파리바게뜨 제주공항점_20140521,파리크라상파리바게뜨 제주공항점,,제주 제주시 용담이동 2002번지 3층,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%A0%9C%EC%A3%BC%EC%8B%9C%20%EC%9A%A9%EB%8B%B4%EC%9D%B4%EB%8F%99%202002%EB%B2%88%EC%A7%80%203%EC%B8%B5?c=15.00,0,0,0,dh",
(주)파리크라상파리바게뜨제주공항탑승점_20200925,파리크라상파리바게뜨제주공항탑승점,,제주 제주시 용담이동 2002번지 여객청사 2층,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%A0%9C%EC%A3%BC%EC%8B%9C%20%EC%9A%A9%EB%8B%B4%EC%9D%B4%EB%8F%99%202002%EB%B2%88%EC%A7%80%20%EC%97%AC%EA%B0%9D%EC%B2%AD%EC%82%AC%202%EC%B8%B5?c=15.00,0,0,0,dh",
24시 전주명가콩나물국밥 노형점_20190509,24시 전주명가콩나물국밥 노형점,24시전주명가콩나물국밥,제주 제주시 노형동 1054-2번지 1층,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%A0%9C%EC%A3%BC%EC%8B%9C%20%EB%85%B8%ED%98%95%EB%8F%99%201054-2%EB%B2%88%EC%A7%80%201%EC%B8%B5/place/1539553023?c=15.00,0,0,0,dh&isCorrectAnswer=true",
24시뼈다귀탕_20020703,24시뼈다귀탕,,제주 제주시 이도일동 1252-5번지,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%A0%9C%EC%A3%BC%EC%8B%9C%20%EC%9D%B4%EB%8F%84%EC%9D%BC%EB%8F%99%201252-5%EB%B2%88%EC%A7%80?c=15.00,0,0,0,dh",
24시얼큰시원생고기김치찌개외도점_20170103,24시얼큰시원생고기김치찌개외도점,감성쭈꾸미 제주점,제주 제주시 외도일동 637-12번지 1층,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%A0%9C%EC%A3%BC%EC%8B%9C%20%EC%99%B8%EB%8F%84%EC%9D%BC%EB%8F%99%20637-12%EB%B2%88%EC%A7%80%201%EC%B8%B5/place/1683499357?c=15.00,0,0,0,dh&isCorrectAnswer=true",
24시전주명가콩나물국밥_20190711,24시전주명가콩나물국밥,24시전주명가콩나물국밥,제주 제주시 아라일동 2417-3번지 1층,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%A0%9C%EC%A3%BC%EC%8B%9C%20%EC%95%84%EB%9D%BC%EC%9D%BC%EB%8F%99%202417-3%EB%B2%88%EC%A7%80%201%EC%B8%B5/place/34186551?c=15.00,0,0,0,dh&isCorrectAnswer=true",
24시제주해장국_20191210,24시제주해장국,24시제주해장국,제주 제주시 연동 271-20번지 1층,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%A0%9C%EC%A3%BC%EC%8B%9C%20%EC%97%B0%EB%8F%99%20271-20%EB%B2%88%EC%A7%80%201%EC%B8%B5/place/1217013658?c=15.00,0,0,0,dh&isCorrectAnswer=true",
43번가정육식당_20200804,43번가정육식당,,제주 제주시 용담일동 189-3번지,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%A0%9C%EC%A3%BC%EC%8B%9C%20%EC%9A%A9%EB%8B%B4%EC%9D%BC%EB%8F%99%20189-3%EB%B2%88%EC%A7%80?c=15.00,0,0,0,dh",
60계치킨제주삼화지구점_20171226,60계치킨제주삼화지구점,남다른대구막창 제주삼화점,제주 제주시 화북일동 1019-2번지 1층,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%A0%9C%EC%A3%BC%EC%8B%9C%20%ED%99%94%EB%B6%81%EC%9D%BC%EB%8F%99%201019-2%EB%B2%88%EC%A7%80%201%EC%B8%B5/place/1939675379?c=15.00,0,0,0,dh&isCorrectAnswer=true",
60계치킨제주서귀포동홍점_20191002,60계치킨제주서귀포동홍점,소짝 제주동홍점,제주 서귀포시 동홍동 413-5번지 1층,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%84%9C%EA%B7%80%ED%8F%AC%EC%8B%9C%20%EB%8F%99%ED%99%8D%EB%8F%99%20413-5%EB%B2%88%EC%A7%80%201%EC%B8%B5/place/1455809276?c=15.00,0,0,0,dh&isCorrectAnswer=true",
8번게이트주식회사_20220829,8번게이트,,제주 제주시 이도일동 1434번지 1층,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%A0%9C%EC%A3%BC%EC%8B%9C%20%EC%9D%B4%EB%8F%84%EC%9D%BC%EB%8F%99%201434%EB%B2%88%EC%A7%80%201%EC%B8%B5?c=15.00,0,0,0,dh",
centro_20180328,centro,센트로,제주 서귀포시 서귀동 172-4번지 1층,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%84%9C%EA%B7%80%ED%8F%AC%EC%8B%9C%20%EC%84%9C%EA%B7%80%EB%8F%99%20172-4%EB%B2%88%EC%A7%80%201%EC%B8%B5/place/1371181339?c=15.00,0,0,0,dh&isCorrectAnswer=true",
가담_20100316,가담,가담국수,제주 제주시 노형동 1044-10번지,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%A0%9C%EC%A3%BC%EC%8B%9C%20%EB%85%B8%ED%98%95%EB%8F%99%201044-10%EB%B2%88%EC%A7%80/place/32159927?c=15.00,0,0,0,dh&isCorrectAnswer=true",
가락국수_20140630,가락국수,산뽀 제주본점,제주 제주시 연동 283-2번지,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%A0%9C%EC%A3%BC%EC%8B%9C%20%EC%97%B0%EB%8F%99%20283-2%EB%B2%88%EC%A7%80/place/1103839444?c=15.00,0,0,0,dh&isCorrectAnswer=true",
감나무집_20121102,감나무집,감나무집,제주 제주시 오라일동 1074번지,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%A0%9C%EC%A3%BC%EC%8B%9C%20%EC%98%A4%EB%9D%BC%EC%9D%BC%EB%8F%99%201074%EB%B2%88%EC%A7%80/place/13444810?c=15.00,0,0,0,dh&isCorrectAnswer=true",
감성커피한라병원점_20210823,감성커피한라병원점,파스쿠찌 제주한라병원점,제주 제주시 연동 1964-3번지 연동펠리체아파트 104호,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%A0%9C%EC%A3%BC%EC%8B%9C%20%EC%97%B0%EB%8F%99%201964-3%EB%B2%88%EC%A7%80%20%EC%97%B0%EB%8F%99%ED%8E%A0%EB%A6%AC%EC%B2%B4%EC%95%84%ED%8C%8C%ED%8A%B8%20104%ED%98%B8/place/1642097365?c=15.00,0,0,0,dh&isCorrectAnswer=true",
감초식당_20040203,감초식당,,제주 제주시 이도일동 1289-5번지,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%A0%9C%EC%A3%BC%EC%8B%9C%20%EC%9D%B4%EB%8F%84%EC%9D%BC%EB%8F%99%201289-5%EB%B2%88%EC%A7%80?c=15.00,0,0,0,dh",
강춘식당_20121116,강춘식당,,제주 제주시 일도일동 1103-5번지,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%A0%9C%EC%A3%BC%EC%8B%9C%20%EC%9D%BC%EB%8F%84%EC%9D%BC%EB%8F%99%201103-5%EB%B2%88%EC%A7%80?c=15.00,0,0,0,dh",
검은여식당본점_20060803,검은여식당본점,검은여식당,제주 서귀포시 표선면 표선리 1861번지 1층,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%84%9C%EA%B7%80%ED%8F%AC%EC%8B%9C%20%ED%91%9C%EC%84%A0%EB%A9%B4%20%ED%91%9C%EC%84%A0%EB%A6%AC%201861%EB%B2%88%EC%A7%80%201%EC%B8%B5/place/32166269?c=15.00,0,0,0,dh&isCorrectAnswer=true",
게우지코인 인 갤러리_20161227,게우지코인 인 갤러리,게우지코지 카페,제주 서귀포시 하효동 1371번지,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%84%9C%EA%B7%80%ED%8F%AC%EC%8B%9C%20%ED%95%98%ED%9A%A8%EB%8F%99%201371%EB%B2%88%EC%A7%80/place/536844320?c=15.00,0,0,0,dh&isCorrectAnswer=true",
경동식당_20030103,경동식당,중앙식당,제주 서귀포시 안덕면 화순리 1077-1번지,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%84%9C%EA%B7%80%ED%8F%AC%EC%8B%9C%20%EC%95%88%EB%8D%95%EB%A9%B4%20%ED%99%94%EC%88%9C%EB%A6%AC%201077-1%EB%B2%88%EC%A7%80/place/11821492?c=15.00,0,0,0,dh&isCorrectAnswer=true",
계절식탁향토_20210607,계절식탁향토,계절식탁 함덕점,제주 제주시 조천읍 함덕리 1004-41번지 2층,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%A0%9C%EC%A3%BC%EC%8B%9C%20%EC%A1%B0%EC%B2%9C%EC%9D%8D%20%ED%95%A8%EB%8D%95%EB%A6%AC%201004-41%EB%B2%88%EC%A7%80%202%EC%B8%B5/place/1636101910?c=15.00,0,0,0,dh&isCorrectAnswer=true",
고구려_20011031,고구려,고구려,제주 제주시 연동 1511-1번지,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%A0%9C%EC%A3%BC%EC%8B%9C%20%EC%97%B0%EB%8F%99%201511-1%EB%B2%88%EC%A7%80/place/1204290676?c=15.00,0,0,0,dh&isCorrectAnswer=true",
고기다_20190607,고기다,고기다 성산흑돼지,제주 서귀포시 성산읍 고성리 350-1번지,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%84%9C%EA%B7%80%ED%8F%AC%EC%8B%9C%20%EC%84%B1%EC%82%B0%EC%9D%8D%20%EA%B3%A0%EC%84%B1%EB%A6%AC%20350-1%EB%B2%88%EC%A7%80/place/1248490959?c=15.00,0,0,0,dh&isCorrectAnswer=true",
고기역_20211207,고기역,남도보쌈짚 제주연동점,제주 제주시 연동 1484번지 1층,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%A0%9C%EC%A3%BC%EC%8B%9C%20%EC%97%B0%EB%8F%99%201484%EB%B2%88%EC%A7%80%201%EC%B8%B5/place/1703249402?c=15.00,0,0,0,dh&isCorrectAnswer=true",
고기왕_20120424,고기왕,고기왕 하귀애월점,제주 제주시 애월읍 하귀1리 530-9번지 3층 (왕빌딩),FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%A0%9C%EC%A3%BC%EC%8B%9C%20%EC%95%A0%EC%9B%94%EC%9D%8D%20%ED%95%98%EA%B7%801%EB%A6%AC%20530-9%EB%B2%88%EC%A7%80%203%EC%B8%B5%20(%EC%99%95%EB%B9%8C%EB%94%A9)/place/33913369?c=15.00,0,0,0,dh&isCorrectAnswer=true",
고깃집 본점_20220812,고깃집 본점,고깃집 본점,제주 서귀포시 법환동 737-1번지,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%84%9C%EA%B7%80%ED%8F%AC%EC%8B%9C%20%EB%B2%95%ED%99%98%EB%8F%99%20737-1%EB%B2%88%EC%A7%80/place/1104756081?c=15.00,0,0,0,dh&isCorrectAnswer=true",
고깃집_20141015,고깃집,고깃집 본점,제주 서귀포시 법환동 737-1번지,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%84%9C%EA%B7%80%ED%8F%AC%EC%8B%9C%20%EB%B2%95%ED%99%98%EB%8F%99%20737-1%EB%B2%88%EC%A7%80/place/1104756081?c=15.00,0,0,0,dh&isCorrectAnswer=true",
고니식당_20170201,고니식당,세이프존두피탈모,제주 제주시 아라일동 6092-10번지 101호,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%A0%9C%EC%A3%BC%EC%8B%9C%20%EC%95%84%EB%9D%BC%EC%9D%BC%EB%8F%99%206092-10%EB%B2%88%EC%A7%80%20101%ED%98%B8/place/1916833404?c=15.00,0,0,0,dh&isCorrectAnswer=true",
고미횟집_20130208,고미횟집,고미횟집,제주 서귀포시 서귀동 325-27번지,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%84%9C%EA%B7%80%ED%8F%AC%EC%8B%9C%20%EC%84%9C%EA%B7%80%EB%8F%99%20325-27%EB%B2%88%EC%A7%80/place/13415230?c=15.00,0,0,0,dh&isCorrectAnswer=true",
고봉민김밥인(서귀포강정점)_20190409,고봉민김밥인(서귀포강정점),마인드휘트니스 신서귀점,제주 서귀포시 강정동 208-1번지 1층 102호,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%84%9C%EA%B7%80%ED%8F%AC%EC%8B%9C%20%EA%B0%95%EC%A0%95%EB%8F%99%20208-1%EB%B2%88%EC%A7%80%201%EC%B8%B5%20102%ED%98%B8/place/821132161?c=15.00,0,0,0,dh&isCorrectAnswer=true",
고성장수물식당_20030415,고성장수물식당,장수물식당,제주 제주시 연동 310-79번지,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%A0%9C%EC%A3%BC%EC%8B%9C%20%EC%97%B0%EB%8F%99%20310-79%EB%B2%88%EC%A7%80/place/11864763?c=15.00,0,0,0,dh&isCorrectAnswer=true",
고요남_20151211,고요남,자가제빵선명희피자 제주점,제주 제주시 아라이동 3001-17번지,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%A0%9C%EC%A3%BC%EC%8B%9C%20%EC%95%84%EB%9D%BC%EC%9D%B4%EB%8F%99%203001-17%EB%B2%88%EC%A7%80/place/1229543634?c=15.00,0,0,0,dh&isCorrectAnswer=true",
고우니제주를담다말흑돼지전복삼합전문점_20070206,고우니제주를담다말흑돼지전복삼합전문점,고우니 제주를담다,제주 제주시 애월읍 하귀2리 2825번지,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%A0%9C%EC%A3%BC%EC%8B%9C%20%EC%95%A0%EC%9B%94%EC%9D%8D%20%ED%95%98%EA%B7%802%EB%A6%AC%202825%EB%B2%88%EC%A7%80/place/45860080?c=15.00,0,0,0,dh&isCorrectAnswer=true",
고향숯불막창구이_20080327,고향숯불막창구이,제주돔베고기집,제주 제주시 노형동 1279-1번지,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%A0%9C%EC%A3%BC%EC%8B%9C%20%EB%85%B8%ED%98%95%EB%8F%99%201279-1%EB%B2%88%EC%A7%80/place/1583780094?c=15.00,0,0,0,dh&isCorrectAnswer=true",
공룡고기_20210803,공룡고기,공룡고기 제주노형점,제주 제주시 노형동 53번지 노형동,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%A0%9C%EC%A3%BC%EC%8B%9C%20%EB%85%B8%ED%98%95%EB%8F%99%2053%EB%B2%88%EC%A7%80%20%EB%85%B8%ED%98%95%EB%8F%99/place/1703220705?c=15.00,0,0,0,dh&isCorrectAnswer=true",
공룡마라탕앤양꼬치8호점_20220613,공룡마라탕앤양꼬치8호점,공룡마라탕&꼬치 중문8호점,제주 서귀포시 중문동 2083-2번지 1층,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%84%9C%EA%B7%80%ED%8F%AC%EC%8B%9C%20%EC%A4%91%EB%AC%B8%EB%8F%99%202083-2%EB%B2%88%EC%A7%80%201%EC%B8%B5/place/1833525107?c=15.00,0,0,0,dh&isCorrectAnswer=true",
공천포식당_20140411,공천포식당,공천포식당,제주 서귀포시 남원읍 신례리 27-5번지,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%84%9C%EA%B7%80%ED%8F%AC%EC%8B%9C%20%EB%82%A8%EC%9B%90%EC%9D%8D%20%EC%8B%A0%EB%A1%80%EB%A6%AC%2027-5%EB%B2%88%EC%A7%80/place/16947222?c=15.00,0,0,0,dh&isCorrectAnswer=true",
광양_19990517,광양,,제주 제주시 이도이동 1177-2번지,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%A0%9C%EC%A3%BC%EC%8B%9C%20%EC%9D%B4%EB%8F%84%EC%9D%B4%EB%8F%99%201177-2%EB%B2%88%EC%A7%80?c=15.00,0,0,0,dh",
괸당집인제점_20200228,괸당집인제점,,제주 제주시 일도이동 417번지 1층,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%A0%9C%EC%A3%BC%EC%8B%9C%20%EC%9D%BC%EB%8F%84%EC%9D%B4%EB%8F%99%20417%EB%B2%88%EC%A7%80%201%EC%B8%B5?c=15.00,0,0,0,dh",
교동짬뽕제주_20221004,교동짬뽕제주,,제주 제주시 이도일동 1244-6번지 1층,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%A0%9C%EC%A3%BC%EC%8B%9C%20%EC%9D%B4%EB%8F%84%EC%9D%BC%EB%8F%99%201244-6%EB%B2%88%EC%A7%80%201%EC%B8%B5?c=15.00,0,0,0,dh",
교촌치킨 서귀포혁신도시점_20180528,교촌치킨 서귀포혁신도시점,대독장 신서귀포점,제주 서귀포시 강정동 166-10번지 1층,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%84%9C%EA%B7%80%ED%8F%AC%EC%8B%9C%20%EA%B0%95%EC%A0%95%EB%8F%99%20166-10%EB%B2%88%EC%A7%80%201%EC%B8%B5/place/1644522459?c=15.00,0,0,0,dh&isCorrectAnswer=true",
교촌치킨 애월하귀점_20171124,교촌치킨 애월하귀점,교촌치킨 외도하귀점,제주 제주시 애월읍 하귀1리 162-4번지 1층,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%A0%9C%EC%A3%BC%EC%8B%9C%20%EC%95%A0%EC%9B%94%EC%9D%8D%20%ED%95%98%EA%B7%801%EB%A6%AC%20162-4%EB%B2%88%EC%A7%80%201%EC%B8%B5/place/36308003?c=15.00,0,0,0,dh&isCorrectAnswer=true",
